energy_MeV,U238_inelastic
0.472107,1.47029
0.499679,1.50864
0.528863,1.54823
0.55975,1.58665
0.592442,1.62146
0.627042,1.65726
0.663664,1.68829
0.702424,1.7692
0.743449,1.84192
0.786869,2.03379
0.832825,2.17529
0.881465,2.25118
0.932946,2.30497
0.987433,2.42713
1.0451,2.53571
1.10614,2.78494
1.17074,2.94108
1.23912,3.03725
1.31149,3.158
1.38808,3.16481
1.46915,3.14099
1.55496,3.10717
1.64577,3.01657
1.74189,2.8333
1.84363,2.59496
1.9513,2.35885
2.06526,2.14866
2.18588,1.96424
2.31355,1.80474
2.44867,1.67651
2.59168,1.57579
2.74304,1.50344
2.90324,1.4463
3.07281,1.39669
3.25227,1.3641
3.44221,1.34101
3.64325,1.32178
3.85603,1.30331
4.08124,1.28576
4.3196,1.26769
4.57188,1.24864
4.83889,1.22779
5.1215,1.18733
5.42062,1.14331
5.7372,1.1166
6.07227,1.0883
6.42692,1.05932
6.80227,1.02902
7.19955,0.996915
7.62003,0.962558
8.06507,0.924885
8.5361,0.883417
9.03464,0.83699
9.5623,0.785402
10.1208,0.731619
10.7119,0.676688
11.3375,0.61839
11.9996,0.558031
12.7004,0.503298
13.4422,0.446443
14.2273,0.390085
15.0582,0.342244
15.9377,0.292193
16.8685,0.25436
17.8537,0.216423
18.8964,0.177468
20,0.137855
