energy_MeV,U235_fission,U235_capture,U238_fission,U238_capture
1.26716e-06,29.1717,10.9397,1.88966e-06,0.48559
1.34117e-06,20.1859,6.44592,1.85419e-06,0.480559
1.4195e-06,17.3012,4.63992,1.81939e-06,0.47558
1.5024e-06,15.9385,3.75607,1.78536e-06,0.470718
1.59015e-06,15.0687,3.31237,1.75608e-06,0.468135
1.68302e-06,14.3607,3.10739,1.72727e-06,0.465566
1.78131e-06,13.7873,3.21417,1.70043e-06,0.463844
1.88535e-06,13.5788,4.46746,1.67726e-06,0.463958
1.99546e-06,20.1374,30.3054,1.6544e-06,0.464071
2.112e-06,13.5912,11.2398,1.64068e-06,0.469426
2.23535e-06,11.0367,3.07078,1.62745e-06,0.475065
2.3659e-06,10.2234,2.29562,1.61432e-06,0.480771
2.50408e-06,9.30023,2.16626,1.6013e-06,0.486546
2.65033e-06,7.64748,2.54737,1.59403e-06,0.496065
2.80512e-06,14.0579,3.90423,1.59643e-06,0.512239
2.96895e-06,22.2371,4.40465,1.59884e-06,0.52894
3.14235e-06,53.0945,18.8651,1.61126e-06,0.553309
3.32587e-06,17.7044,5.92467,1.62981e-06,0.583295
3.52011e-06,42.4266,18.0935,1.65363e-06,0.618848
3.7257e-06,13.0965,14.7838,1.69552e-06,0.671182
3.9433e-06,2.64211,2.78501,1.75317e-06,0.741092
4.1736e-06,2.86647,1.92187,1.82995e-06,0.839387
4.41735e-06,3.26427,2.17231,1.9422e-06,1.73675
4.67534e-06,4.3307,6.67982,2.11193e-06,1.16179
4.9484e-06,5.80204,24.7731,2.36539e-06,1.4636
5.2374e-06,8.09632,3.1828,2.77853e-06,1.99389
5.54329e-06,16.3984,3.55078,3.55422e-06,3.06592
5.86704e-06,15.9146,4.59577,5.28724e-06,5.71789
6.20969e-06,52.2137,29.9282,1.16649e-05,16.8304
6.57236e-06,8.79959,20.2048,0.000333549,723.352
6.95621e-06,19.1121,19.6762,1.39379e-05,44.3154
