energy_MeV,water_SigT_cm^-1,natU_SigT_cm^-1
6.07227,0.138989,0.263667
6.42692,0.127185,0.265514
6.80227,0.133884,0.267414
7.19955,0.143559,0.26682
7.62003,0.117552,0.262495
8.06507,0.105457,0.255887
8.5361,0.109094,0.24826
9.03464,0.112906,0.240191
9.5623,0.105887,0.231657
10.1208,0.108986,0.223793
10.7119,0.100313,0.217361
11.3375,0.110497,0.211965
11.9996,0.10838,0.207773
12.7004,0.102418,0.205974
13.4422,0.1013,0.209301
14.2273,0.0993865,0.214496
15.0582,0.101657,0.218251
15.9377,0.0939007,0.224415
16.8685,0.0913945,0.226785
17.8537,0.0905165,0.228541
18.8964,0.0903389,0.232507
20,0.0870809,0.242598
